STATIONS_ID;MESS_DATUM;QN_6;RS;RSF;SH_TAG;NSH_TAG;eor
          6;20230806;    3;  17.4;   6;   0;   0;eor
          6;20230807;    3;   0.5;   6;   0;   0;eor
          6;20230808;    3;   0.7;   6;   0;   0;eor
          6;20230809;    3;   7.4;   6;   0;   0;eor
          6;20230810;    3;   0.0;   0;   0;   0;eor
          6;20230811;    3;   0.0;   0;   0;   0;eor
          6;20230812;    3;  19.0;   6;   0;   0;eor
          6;20230813;    3;  15.0;   6;   0;   0;eor
          6;20230814;    3;   0.0;   6;   0;   0;eor
          6;20230815;    3;   0.0;   6;   0;   0;eor
          6;20230816;    3;   0.5;   6;   0;   0;eor
          6;20230817;    3;   0.4;   6;   0;   0;eor
          6;20230818;    3;   0.0;   0;   0;   0;eor
          6;20230819;    3;   0.0;   6;   0;   0;eor
          6;20230820;    3;   0.0;   0;   0;   0;eor
          6;20230821;    3;   0.0;   0;   0;   0;eor
          6;20230822;    3;   0.0;   0;   0;   0;eor
          6;20230823;    3;   0.0;   6;   0;   0;eor
          6;20230824;    3;  12.4;   6;   0;   0;eor
          6;20230825;    3;   9.3;   6;   0;   0;eor
          6;20230826;    3;   8.1;   6;   0;   0;eor
          6;20230827;    3;   5.7;   6;   0;   0;eor
          6;20230828;    3;  10.9;   6;   0;   0;eor
          6;20230829;    3;   9.6;   6;   0;   0;eor
          6;20230830;    3;   5.9;   6;   0;   0;eor
          6;20230831;    3;   2.5;   6;   0;   0;eor
          6;20230901;    3;   3.1;   6;   0;   0;eor
          6;20230902;    3;   0.0;   0;   0;   0;eor
          6;20230903;    3;   0.0;   0;   0;   0;eor
          6;20230904;    3;   0.0;   0;   0;   0;eor
          6;20230905;    3;   0.0;   0;   0;   0;eor
          6;20230906;    3;   0.0;   0;   0;   0;eor
          6;20230907;    3;   0.0;   0;   0;   0;eor
          6;20230908;    3;   0.0;   0;   0;   0;eor
          6;20230909;    3;   0.0;   0;   0;   0;eor
          6;20230910;    3;   0.0;   0;   0;   0;eor
          6;20230911;    3;   0.0;   0;   0;   0;eor
          6;20230912;    3;   0.0;   6;   0;   0;eor
          6;20230913;    3;   0.0;   0;   0;   0;eor
          6;20230914;    3;   0.0;   0;   0;   0;eor
          6;20230915;    3;   0.0;   0;   0;   0;eor
          6;20230916;    3;   0.0;   0;   0;   0;eor
          6;20230917;    3;   0.0;   0;   0;   0;eor
          6;20230918;    3;   2.4;   6;   0;   0;eor
          6;20230919;    3;   2.9;   6;   0;   0;eor
          6;20230920;    3;   0.0;   0;   0;   0;eor
          6;20230921;    3;   4.3;   6;   0;   0;eor
          6;20230922;    3;   1.6;   6;   0;   0;eor
          6;20230923;    3;   0.0;   0;   0;   0;eor
          6;20230924;    3;   0.0;   0;   0;   0;eor
          6;20230925;    3;   0.0;   0;   0;   0;eor
          6;20230926;    3;   0.0;   0;   0;   0;eor
          6;20230927;    3;   0.0;   0;   0;   0;eor
          6;20230928;    3;   0.0;   0;   0;   0;eor
          6;20230929;    3;   0.0;   0;   0;   0;eor
          6;20230930;    3;   0.0;   0;   0;   0;eor
          6;20231001;    3;   0.0;   0;   0;   0;eor
          6;20231002;    3;   0.0;   0;   0;   0;eor
          6;20231003;    3;   4.8;   6;   0;   0;eor
          6;20231004;    3;   0.0;   0;   0;   0;eor
          6;20231005;    3;   0.0;   0;   0;   0;eor
          6;20231006;    3;   0.0;   0;   0;   0;eor
          6;20231007;    3;   0.2;   6;   0;   0;eor
